Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Crossroads Moe","Crossroads Boulder > Bridalveil Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107339955/crossroads-moe,3.8,-1,Boulder,V6,1,,37.71699,-119.65233
"Housekeeping Face","The Housekeeping Boulder > Housekeeping > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/117934783/housekeeping-face,3.6,-1,Boulder,V2,1,,37.74049,-119.58002
"The Glass Pyramid Arete","The Glass Pyramid > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/108987385/the-glass-pyramid-arete,2.7,-1,Boulder,V0,1,15,37.7426,-119.60284
"Hit Man","Wine Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106783106/hit-man,2.5,-1,Boulder,V4,1,8,37.74219,-119.60419
"Sentinel Traverse","B-1 Boulder > Sentinel Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106662958/sentinel-traverse,3.7,-1,Boulder,V6,1,25,37.73235,-119.60032
"The Presidential","Presidential Boulder > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106437930/the-presidential,2.9,-1,Boulder,V-easy,1,,37.72641,-119.60573
"Athletes Die Young","Athletes Die Young > Housekeeping > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/108047975/athletes-die-young,3.7,-1,Boulder,V5,1,12,37.7393,-119.5793
"The Arete","Arete Boulder > The Gunks > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/115174864/the-arete,3.7,-1,Boulder,V4,1,,37.88056,-119.40024
"Shiver Me Timbers","Shiver Me Timbers Boulder > Camp 4 Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106662862/shiver-me-timbers,4.0,-1,Boulder,"V5 R",1,25,37.74285,-119.604
"The Sloth","Sloth Boulder > Swan Slab Boulders > * Yosemite Valley Bouldering > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106951283/the-sloth,3.2,-1,Boulder,V3,1,,37.74462,-119.60057
"Solar Flare","Sunrise Boulder > * Tuolumne Bouldering > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/110787941/solar-flare,3.4,-1,Boulder,V4,1,,37.82769,-119.47205
